num_users,k_clusters,total_checkins,global_acc_1_spec,global_hit_k_spec,global_acc_1_lvl1,global_hit_k_lvl1,cluster_acc_1_spec,cluster_hit_k_spec,cluster_acc_1_lvl1,cluster_hit_k_lvl1,fsq_cat_hit_rate_at_3,fsq_poi_hit_rate_at_3,fsq_poi_hit_rate_at_9
1083,2,83061,15.838990554899645,27.774498229043683,49.118211334120424,84.75870720188901,16.016086186540733,28.50870720188902,48.930047225501774,85.88031286894925,0.0,0.0,0.0
20,5,1640,12.573789846517121,20.907123179850455,47.5366489571035,82.82049390003935,12.597156631247541,20.916961826052738,47.48868555686738,82.7995867768595,0.0,0.0,0.0
50,5,4077,12.498770169224715,23.012593467138924,48.34710743801653,83.97407516725698,12.643890200708384,23.08392365210547,48.24380165289256,83.99867178276268,0.0,0.0,0.0
100,5,7508,14.103699330972058,25.039354584809132,49.034582841401026,84.45247933884298,14.365653286107834,25.292699724517906,49.07639708776073,84.67015938606848,0.0,0.0,0.0
150,5,11583,15.193329397874853,26.472107438016526,49.03212317985045,84.55824478551752,15.565968122786304,26.81523022432113,49.26087170405353,84.8693919716647,0.0,0.0,0.0
200,5,15760,15.48848878394333,26.868112947658403,49.118211334120424,84.69844549390002,15.766430539157811,27.1362160566706,49.21044864226682,85.0796930342385,0.0,0.0,0.0
300,5,23348,15.526613537977175,27.21861471861472,49.118211334120424,84.63203463203463,15.864817001180638,27.776957890594257,49.21413813459268,85.12150728059818,16.666666666666668,0.0,0.0
400,5,31093,15.567197953561589,27.59863242817788,49.118211334120424,84.74886855568673,16.15505706414797,28.097943722943725,49.33343171979536,85.6072904368359,0.0,0.0,0.0
600,5,46526,15.770120031483666,27.77941755214482,49.118211334120424,84.70582447855175,16.666666666666668,28.961284927194015,49.51790633608815,86.04511019283746,0.0,0.0,0.0
800,5,61748,15.802095631641086,27.81754230617867,49.118211334120424,84.65048209366391,16.726928374655646,29.38065722156631,49.51913616686343,86.30214482487209,0.0,0.0,0.0
1000,5,76956,15.819313262495081,27.850747737111377,49.118211334120424,84.70951397087761,17.325855962219602,30.551456119637937,50.489472648563556,86.6624852420307,0.0,0.0,0.0
1083,5,83061,15.838990554899645,27.774498229043683,49.118211334120424,84.75870720188901,17.831316410861866,29.707792207792206,50.18816410861865,87.3339728453365,0.0,0.0,0.0
20,10,1640,12.573789846517121,20.907123179850455,47.5366489571035,82.82049390003935,12.641430539157811,20.920651318378592,47.48991538764266,82.69505116096025,0.0,0.0,0.0
50,10,4077,12.498770169224715,23.012593467138924,48.34710743801653,83.97407516725698,12.753345139708776,23.27823691460055,48.32374065328611,83.91873278236915,0.0,0.0,0.0
100,10,7508,14.103699330972058,25.039354584809132,49.034582841401026,84.45247933884298,14.555047225501772,25.55465367965368,49.163715072805985,84.65048209366391,0.0,0.0,0.0
150,10,11583,15.193329397874853,26.472107438016526,49.03212317985045,84.55824478551752,15.7172373081464,26.96403974813066,49.34941951987406,84.88292011019284,0.0,0.0,0.0
200,10,15760,15.48848878394333,26.868112947658403,49.118211334120424,84.69844549390002,16.13292011019284,27.451052735143644,49.59415584415584,85.18914797323889,0.0,0.0,0.0
300,10,23348,15.526613537977175,27.21861471861472,49.118211334120424,84.63203463203463,16.417011019283745,27.995867768595037,50.04919323101141,85.3810015741834,16.666666666666668,0.0,0.0
400,10,31093,15.567197953561589,27.59863242817788,49.118211334120424,84.74886855568673,16.710940574576938,28.67719401810311,50.45995670995671,85.90982880755608,0.0,0.0,0.0
600,10,46526,15.770120031483666,27.77941755214482,49.118211334120424,84.70582447855175,17.319706808343174,29.330234159779618,51.11176702085793,86.55426013380558,0.0,0.0,0.0
800,10,61748,15.802095631641086,27.81754230617867,49.118211334120424,84.65048209366391,17.787042502951593,29.688114915387644,52.03045060999606,87.03635379771744,0.0,0.0,0.0
1000,10,76956,15.819313262495081,27.850747737111377,49.118211334120424,84.70951397087761,18.61840810704447,30.41986422668241,53.39802243211334,87.75457497048406,0.0,0.0,0.0
1083,10,83061,15.838990554899645,27.774498229043683,49.118211334120424,84.75870720188901,18.809031877213695,31.03969893742621,53.885035419126325,88.03128689492326,0.0,0.0,0.0
20,15,1640,12.573789846517121,20.907123179850455,47.5366489571035,82.82049390003935,12.646349862258953,20.9366391184573,47.49729437229437,82.66184573002755,0.0,0.0,0.0
50,15,4077,12.498770169224715,23.012593467138924,48.34710743801653,83.97407516725698,12.763183785911059,23.306523022432113,48.31390200708383,83.89413616686345,0.0,0.0,0.0
100,15,7508,14.103699330972058,25.039354584809132,49.034582841401026,84.45247933884298,14.49232585596222,25.462416371507278,49.096074380165284,84.51151121605666,0.0,0.0,0.0
150,15,11583,15.193329397874853,26.472107438016526,49.03212317985045,84.55824478551752,15.691410861865407,26.97264856355765,49.38262495080678,84.82880755608028,0.0,0.0,0.0
200,15,15760,15.48848878394333,26.868112947658403,49.118211334120424,84.69844549390002,16.17965367965368,27.613390397481307,49.51421684376229,85.02804014167651,0.0,0.0,0.0
300,15,23348,15.526613537977175,27.21861471861472,49.118211334120424,84.63203463203463,16.50801849665486,28.192640692640694,50.14389020070838,85.4142070051161,16.666666666666668,0.0,0.0
400,15,31093,15.567197953561589,27.59863242817788,49.118211334120424,84.74886855568673,16.92493112947658,28.88995474222747,50.677636757182206,85.82005116096025,0.0,0.0,0.0
600,15,46526,15.770120031483666,27.77941755214482,49.118211334120424,84.70582447855175,17.436540731995276,29.48273317591499,51.19293585202676,86.569018103109,11.111111111111109,0.0,0.0
800,15,61748,15.802095631641086,27.81754230617867,49.118211334120424,84.65048209366391,18.170749704840617,29.975895316804408,52.38218221172767,87.29092876820151,0.0,0.0,0.0
